順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"69","","","6594","ニデック","東Ｐ","2,708","-79","-2.83","20,253","","","－","1.76","－"
"70","","","4502","武田","東Ｐ","5,517","+158","+2.95","20,197","","","52.5","1.17","3.70"
"71","","","7741","ＨＯＹＡ","東Ｐ","25,575","-355","-1.37","20,121","","","－","8.38","－"
"72","","","5344","ＭＡＲＵＷＡ","東Ｐ","68,280","-5,420","-7.35","19,058","","","－","5.72","0.16"
"73","","","6871","日本マイクロ","東Ｐ","15,150","-850","-5.31","18,299","","","－","7.94","－"
"74","","","200A","野村日半導","東Ｅ","5,611","-99","-1.73","18,231","","","－","－","－"
"75","","","8309","三井住友トラ","東Ｐ","6,540","+214","+3.38","18,012","","","11.8","1.27","2.91"
"76","","","5713","住友鉱","東Ｐ","7,924","-6","-0.08","17,809","","","15.3","1.03","2.61"
"77","","","3110","日東紡","東Ｐ","3,515","-110","-3.03","17,568","","","37.6","3.69","0.80"
"78","","","6702","富士通","東Ｐ","3,349.0","+23.0","+0.69","15,393","","","18.7","2.87","1.64"
"79","","","8267","イオン","東Ｐ","1,455.0","+47.5","+3.37","15,374","","","55.1","3.30","1.03"
"80","","","8308","りそなＨＤ","東Ｐ","2,283.0","+37.5","+1.67","14,997","","","16.5","1.76","1.62"
"81","","","7936","アシックス","東Ｐ","4,724","+100","+2.16","14,991","","","30.4","10.59","0.80"
"82","","","7269","スズキ","東Ｐ","2,144.5","+34.5","+1.64","14,419","","","10.9","1.22","2.38"
"83","","","5401","日本製鉄","東Ｐ","559.0","+10.8","+1.97","14,274","","","13.3","0.53","4.29"
"84","","","6787","メイコー","東Ｐ","27,620","-1,710","-5.83","14,263","","","26.6","5.49","0.58"
"85","","","7182","ゆうちょ銀","東Ｐ","3,262.0","+32.0","+0.99","13,906","","","17.6","1.26","2.85"
"86","","","8750","第一ライフ","東Ｐ","1,875.5","+32.5","+1.76","13,765","","","13.2","1.59","3.84"
"87","","","7453","良品計画","東Ｐ","3,670.0","+55.0","+1.52","13,480","","","31.4","5.17","0.87"
"88","","","5108","ブリヂストン","東Ｐ","3,606.0","+91.0","+2.59","13,241","","","13.2","1.22","3.47"
"89","","","6301","コマツ","東Ｐ","6,749","+122","+1.84","13,187","","","18.9","1.71","2.82"
"90","","","9104","商船三井","東Ｐ","5,379","+186","+3.58","13,056","","","10.9","0.64","3.81"
"91","","","7751","キヤノン","東Ｐ","4,338","+78","+1.83","12,830","","","11.1","1.07","3.69"
"92","","","8053","住友商","東Ｐ","1,591.0","+16.0","+1.02","12,765","","","12.0","1.63","2.51"
"93","","","1801","大成建","東Ｐ","15,105","+455","+3.11","12,686","","","16.3","2.60","2.52"
"94","","","9433","ＫＤＤＩ","東Ｐ","2,737.5","+35.0","+1.30","12,488","","","－","1.99","3.07"
"95","","","6902","デンソー","東Ｐ","1,992.0","+36.5","+1.87","12,428","","","13.1","0.91","3.71"
"96","","","5631","日製鋼","東Ｐ","8,550","+595","+7.48","12,206","","","33.1","2.96","1.08"
"97","","","3498","霞ヶ関Ｃ","東Ｐ","6,630","-420","-5.96","11,969","","","9.9","2.18","2.49"
"98","","","4307","野村総研","東Ｐ","5,087","+177","+3.60","11,853","","","23.9","6.56","1.65"
"99","","","3382","セブン＆アイ","東Ｐ","2,083.0","+59.0","+2.92","11,849","","","17.8","1.33","2.88"
"100","","","4519","中外薬","東Ｐ","7,541","-101","-1.32","11,833","","","－","6.51","1.75"
"101","","","1812","鹿島","東Ｐ","6,227","+99","+1.62","11,812","","","16.9","2.03","2.34"
"102","","","8630","ＳＯＭＰＯ","東Ｐ","6,770","+135","+2.03","11,666","","","12.3","1.17","2.95"
"103","","","8604","野村","東Ｐ","1,490.0","+18.5","+1.26","11,541","","","－","1.16","－"
"104","","","9501","東電ＨＤ","東Ｐ","468.8","+3.8","+0.82","11,342","","","－","0.31","－"
"105","","","7201","日産自","東Ｐ","319.1","+6.0","+1.92","11,292","","","55.8","0.23","－"
"106","","","278A","テラドローン","東Ｇ","5,370","+159","+3.05","11,097","","","11.1","0.71","3.72"
"107","","","5333","ＮＧＫ","東Ｐ","7,391","-82","-1.10","11,093","","","25.4","2.57","1.43"
