順位,順位変動,順位連騰日数,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,前日比%連騰日数,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,売買代金連騰日数,PER,PBR,利回り
"309","↓26","0","283","6770","アルプスアル","東Ｐ","2,224.5","+50.5","+2.32","1","3,197","+293","+10.1%","2","14.3","0.97","2.88"
"310","↓15","0","295","2897","日清食ＨＤ","東Ｐ","2,937.5","+36.0","+1.24","2","3,174","+400","+14.4%","3","18.0","1.60","2.38"
"311","↑50","3","361","8252","丸井Ｇ","東Ｐ","2,842.0","-20.0","-0.70","0","3,173","+1,107","+53.6%","1","16.8","2.09","4.71"
"312","↓96","0","216","5110","住友ゴ","東Ｐ","1,996.5","-7.5","-0.37","1","3,166","-1,049","-24.9%","0","9.5","0.70","4.21"
"313","↓63","0","250","2702","マクドナルド","東Ｓ","8,020","-80","-0.99","0","3,131","-281","-8.2%","0","30.5","3.64","0.80"
"314","↓80","0","234","9602","東宝","東Ｐ","1,614.0","+7.0","+0.44","0","3,118","-644","-17.1%","0","32.8","2.68","1.36"
"315","NEW","0","","8985","ホテルリート","東Ｒ","83,100","-400","-0.48","0","3,111","","","0","9.4","1.43","6.99"
"316","↓10","0","306","6855","電子材料","東Ｓ","6,520","-240","-3.55","0","3,096","+463","+17.6%","1","14.3","2.06","1.53"
"317","↓68","0","249","4151","協和キリン","東Ｐ","2,199.0","-7.0","-0.32","2","3,060","-365","-10.7%","0","15.4","1.26","3.18"
"318","↑6","1","324","7649","スギＨＤ","東Ｐ","1,267.0","-24.0","-1.86","0","3,059","+624","+25.6%","1","14.4","1.60","1.38"
"319","↑179","1","498","1330","上場日経平均","東Ｅ","66,340","-1,390","-2.05","0","3,012","+1,752","+139.0%","1","－","－","－"
"320","↓8","0","312","3697","ＳＨＩＦＴ","東Ｐ","832.1","-3.5","-0.42","0","3,008","+473","+18.7%","1","－","5.59","0.49"
"321","NEW","0","","9130","共栄タ","東Ｓ","1,699","+127","+8.08","0","2,988","","","0","3.5","0.47","2.35"
"322","NEW","0","","7322","三十三ＦＧ","東Ｐ","2,032","-134","-6.19","0","2,987","","","0","14.1","0.91","2.17"
"323","NEW","0","","6027","弁護士ＣＯＭ","東Ｐ","5,490","+140","+2.62","0","2,978","","","0","62.5","17.08","－"
