順位,順位変動,前日順位,コード,銘柄名,市場,株価,前日比,前日比%,売買代金(百万円),売買代金前日比(百万円),売買代金変動%,PER,PBR,利回り
"454","NEW","","7649","スギＨＤ","東Ｐ","3,283.0","+63.0","+1.96","2,181","","","18.1","2.05","1.07"
"455","NEW","","6136","ＯＳＧ","東Ｐ","3,875","-145","-3.61","2,153","","","20.7","1.75","2.17"
"456","NEW","","4732","ＵＳＳ","東Ｐ","1,963.0","+8.5","+0.43","2,147","","","21.4","4.30","2.80"
"457","NEW","","8524","北洋銀","東Ｐ","1,151","+13","+1.14","2,145","","","14.6","1.11","2.78"
"458","NEW","","6923","スタンレー","東Ｐ","3,610.0","-68.0","-1.85","2,134","","","13.1","0.98","3.07"
"459","NEW","","4676","フジＨＤ","東Ｐ","4,145","+62","+1.52","2,122","","","22.6","1.08","4.83"
"460","NEW","","3132","マクニカＨＤ","東Ｐ","3,179.0","-128.0","-3.87","2,109","","","17.7","2.04","2.52"
"461","NEW","","8698","マネックスＧ","東Ｐ","686","-2","-0.29","2,108","","","－","1.36","4.49"
"462","NEW","","5243","ノート","東Ｇ","2,219","-31","-1.38","2,104","","","35.8","5.61","－"
"463","NEW","","3449","テクノフレ","東Ｓ","6,620","-190","-2.79","2,102","","","43.4","4.61","0.94"
"464","NEW","","2160","ジーエヌアイ","東Ｇ","2,830","-55","-1.91","2,097","","","－","3.72","－"
"465","NEW","","9509","北海電","東Ｐ","972.6","-10.4","-1.06","2,091","","","9.7","0.49","3.39"
"466","NEW","","9142","ＪＲ九州","東Ｐ","3,631.0","+31.0","+0.86","2,084","","","10.8","1.13","3.33"
"467","NEW","","7327","第四北越ＦＧ","東Ｐ","2,205","-50","-2.22","2,083","","","11.6","1.02","3.45"
"468","NEW","","2809","キユーピー","東Ｐ","4,503","+36","+0.81","2,080","","","24.0","1.88","1.44"
"469","NEW","","4588","オンコリス","東Ｇ","2,622","-163","-5.85","2,073","","","－","21.42","－"
"470","NEW","","6203","豊和工","東Ｓ","1,672","-6","-0.36","2,072","","","18.7","0.96","1.20"
"471","NEW","","1542","純銀信託","東Ｅ","28,845","-635","-2.15","2,070","","","－","－","－"
"472","NEW","","9706","日本空港ビル","東Ｐ","5,455","+58","+1.07","2,051","","","20.9","2.41","1.74"
"473","NEW","","6460","セガサミー","東Ｐ","2,443.0","+34.5","+1.43","2,045","","","15.2","1.40","2.25"
"474","NEW","","1346","ＭＸ２２５","東Ｅ","71,300","-1,260","-1.74","2,038","","","－","－","－"
"475","NEW","","5021","コスモＨＤ","東Ｐ","3,885","-79","-1.99","2,029","","","14.0","1.02","4.25"
"476","NEW","","9989","サンドラッグ","東Ｐ","3,903","+31","+0.80","2,022","","","14.2","1.60","3.38"
"477","NEW","","8876","リログループ","東Ｐ","2,150.5","+18.5","+0.87","2,010","","","14.5","3.85","3.49"
"478","NEW","","5393","ニチアス","東Ｐ","3,787","-63","-1.64","2,002","","","22.3","2.99","1.72"
"479","NEW","","8056","ビプロジー","東Ｐ","4,622","+66","+1.45","1,984","","","13.9","2.49","3.03"
"480","NEW","","7283","愛三工","東Ｐ","2,378","+7","+0.30","1,976","","","11.4","0.96","3.36"
"481","NEW","","4617","中国塗","東Ｐ","3,775","-30","-0.79","1,971","","","17.0","1.96","2.65"
"482","NEW","","4631","ＤＩＣ","東Ｐ","4,779","-73","-1.50","1,943","","","13.7","0.94","2.93"
"483","NEW","","8952","ジャパンＲＥ","東Ｒ","119,000","-1,400","-1.16","1,941","","","－","1.59","4.30"
"484","NEW","","3635","コーテクＨＤ","東Ｐ","1,595.5","+10.0","+0.63","1,933","","","17.2","1.96","3.01"
"485","NEW","","9143","ＳＧＨＤ","東Ｐ","1,608.5","+4.0","+0.25","1,921","","","16.0","1.76","3.36"
"486","NEW","","4369","トリケミカル","東Ｐ","3,265","-175","-5.09","1,915","","","23.1","2.89","1.07"
"487","NEW","","6925","ウシオ電","東Ｐ","4,368","-124","-2.76","1,908","","","33.0","1.75","1.60"
"488","NEW","","1951","エクシオＧ","東Ｐ","2,737.0","+25.0","+0.92","1,904","","","15.7","1.63","2.92"
"489","NEW","","3891","高度紙","東Ｓ","8,120","-500","-5.80","1,904","","","26.8","3.27","1.35"
"490","NEW","","4597","ソレイジア","東Ｇ","26","-2","-7.14","1,897","","","－","4.15","－"
"491","NEW","","6845","アズビル","東Ｐ","1,704.0","-38.0","-2.18","1,883","","","24.2","3.38","2.93"
"492","NEW","","3774","ＩＩＪ","東Ｐ","3,468.0","+78.0","+2.30","1,861","","","24.6","3.89","1.24"
"493","NEW","","4373","シンプレクス","東Ｐ","1,066","+46","+4.51","1,856","","","19.2","4.64","2.25"
"494","NEW","","6232","ＡＣＳＬ","東Ｇ","1,837","-43","-2.29","1,854","","","－","12.88","－"
"495","NEW","","2782","セリア","東Ｓ","3,670","+75","+2.09","1,848","","","15.5","2.48","2.18"
"496","NEW","","7956","ピジョン","東Ｐ","2,087.5","-18.5","-0.88","1,848","","","27.3","3.06","3.64"
"497","NEW","","9001","東武","東Ｐ","2,945.5","+5.0","+0.17","1,847","","","10.3","0.94","2.55"
"498","NEW","","9987","スズケン","東Ｐ","5,033","-4","-0.08","1,844","","","13.6","0.82","2.38"
"499","NEW","","4443","Ｓａｎｓａｎ","東Ｐ","1,699","-19","-1.11","1,826","","","－","11.81","0.15"
"500","NEW","","1959","クラフティア","東Ｐ","9,348","+49","+0.53","1,818","","","16.3","1.90","2.35"
