公表日,時刻,コード,会社名,種別,市場,33業種,基準日,終値,PBR,業種平均PBR,業種相対PBR,開示タイトル
2025-10-31,18:00,4957,ヤスハラケミ,MBO,スタンダード市場,化学,2025-10-31,1143.0,0.47,0.8,0.587,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-10-31,16:30,7940,ウェーブロックＨＤ,賛同,スタンダード市場,化学,2025-10-31,713.0,0.36,0.8,0.45,WHD株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募の推奨に関するお知らせ
2025-11-06,17:30,9287,Ｉ－ＪＩＦ,賛同,,,2025-11-06,53500.0,,,,MMパワー合同会社によるジャパン・インフラファンド投資法人（証券コード9287）投資口に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-11-07,17:30,2374,セントケアＨＤ,MBO,プライム市場,サービス業,2025-11-07,820.0,1.15,1.9,0.605,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-11-10,15:30,7088,フォーラムエンジニア,賛同,プライム市場,サービス業,2025-11-10,1290.0,4.93,1.9,2.595,KJ003株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-11-12,17:00,1841,サンユー建設,MBO,スタンダード市場,建設業,2025-11-12,1250.0,0.34,0.9,0.378,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-11-12,17:30,5596,Ｇ－アウトルック,賛同,グロース市場,情報・通信業,2025-11-12,1291.0,3.58,3.6,0.994,親会社であるマネーフォワードクラウド経営管理コンサルティング株式会社による 当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-11-12,15:37,7372,Ｇ－デコルテＨＤ,賛同,グロース市場,サービス業,2025-11-12,361.0,0.35,2.6,0.135,株式会社ＩＢＪによる当社株式に対する公開買付けに関する意見表明のお知らせ
2025-11-12,18:00,7455,パリミキＨＤ,MBO,スタンダード市場,小売業,2025-11-12,391.0,0.65,1.3,0.5,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-11-12,15:30,7635,杉田エース,MBO,スタンダード市場,卸売業,2025-11-12,1230.0,0.57,0.8,0.712,MBOの実施及び応募の推奨に関するお知らせ
2025-11-12,16:45,7718,スター精密,賛同,プライム市場,機械,2025-11-12,1712.0,0.79,1.6,0.494,ソルスティシア株式会社による当社株券等に対する公開買付けに関する意見表明のお知らせ
2025-11-13,17:30,4937,Ｇ－Ｗａｑｏｏ,賛同,グロース市場,化学,2025-11-13,1466.0,2.51,2.0,1.255,その他の関係会社であるSBCメディカルグループ株式会社による当社株式に対する公開買付けに関する意見表明のお知らせ
2025-11-13,16:30,9067,丸運,賛同,スタンダード市場,陸運業,2025-11-13,705.0,0.77,0.6,1.283,センコーグループホールディングス株式会社による当社株式に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2025-11-14,16:30,3961,Ｇ－シルバーエッグ,賛同,グロース市場,情報・通信業,2025-11-14,606.0,1.32,3.6,0.367,株式会社イルグルムによる当社株券等に対する 公開買付けに関する意見表明のお知らせ
2025-11-25,16:01,5250,プライムストラテジー,賛同,スタンダード市場,情報・通信業,2025-11-25,892.0,2.2,1.8,1.222,GMOインターネットグループ株式会社による当社株式に対する公開買付けに関する意見表明及び同社との資本業務提携契約に関するお知らせ
2025-11-28,15:30,7739,キヤノン電子,賛同,プライム市場,電気機器,2025-11-28,2756.0,0.89,2.0,0.445,支配株主であるキヤノン株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-12-01,16:00,7092,ＦＦＪ,MBO,プライム市場,サービス業,2025-12-01,2183.0,2.72,1.9,1.432,ＭＢＯの実施及び応募の推奨に関するお知らせ
2025-12-09,18:00,4347,ブロードメディア,賛同,スタンダード市場,サービス業,2025-12-09,1699.0,2.53,1.3,1.946,エーブイアイ・ジャパン・オポチュニティ・トラスト・ピーエルシーによる当社株券に対する公開買付けの開始に関するお知らせ
2025-12-11,16:45,4384,ラクスル,MBO,プライム市場,情報・通信業,2025-12-11,1226.0,3.55,2.5,1.42,MBOの実施及び応募の推奨に関するお知らせ
2025-12-15,18:30,3902,ＭＤＶ,賛同,プライム市場,情報・通信業,2025-12-15,542.0,6.67,2.5,2.668,日本生命保険相互会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨並びに会社分割による子会社への事業承継等に関するお知らせ
2025-12-15,16:00,7317,Ｇ－松屋Ｒ＆Ｄ,賛同,グロース市場,輸送用機器,2025-12-15,904.0,2.61,5.4,0.483,オムロンヘルスケア株式会社による当社株式等に対する公開買付けの開始予定に関する賛同の意見表明及び応募推奨のお知らせ
2025-12-17,21:00,3593,ホギメディ,賛同,プライム市場,繊維製品,2025-12-17,6560.0,1.9,1.2,1.583,TCG2509株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-12-18,15:30,6734,ニューテック,賛同,スタンダード市場,電気機器,2025-12-18,1797.0,1.22,1.0,1.22,サクサ株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-12-19,15:30,6901,沢藤電,賛同,スタンダード市場,電気機器,2025-12-19,1003.0,0.35,1.0,0.35,ARTS-４株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2025-12-22,15:40,7923,トーイン,賛同,スタンダード市場,その他製品,2025-12-22,870.0,0.39,0.6,0.65,ＣＳＲＩ５号株式会社による当社普通株式に対する公開買付けに係る賛同の意見表明及び応募の推奨に関するお知らせ
2025-12-25,17:00,3541,Ｇ－農業総合研究所,賛同,グロース市場,卸売業,2025-12-25,514.0,12.74,3.3,3.861,ＳＯＭＰＯホールディングス株式会社の完全子会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-01-06,16:15,2972,Ｒ－サンケイＲＥ,賛同,,,2026-01-06,103400.0,,,,Tiger LPS及びLion LPSによるサンケイリアルエステート投資法人（証券コード：2972）投資口に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-01-06,23:00,4530,久光薬,MBO,プライム市場,医薬品,2026-01-06,5200.0,1.26,1.4,0.9,ＭＢＯの実施及び応募の推奨に関するお知らせ
2026-01-08,15:30,7450,サンデー,賛同,スタンダード市場,小売業,2026-01-08,1150.0,1.36,1.3,1.046,親会社であるイオン株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-01-14,18:00,6201,豊田織,賛同,プライム市場,輸送用機器,2026-01-14,18025.0,0.8,1.0,0.8,トヨタ不動産株式会社による当社株式に対する公開買付けに関する賛同及び応募推奨の意見表明のお知らせ
2026-01-23,23:30,202A,Ｇ－豆蔵,賛同,グロース市場,情報・通信業,2026-01-23,4020.0,20.49,3.4,6.026,Roodhalsgans１株式会社による当社株券等に対する公開買付けに関する賛同及び応募中立の意見表明のお知らせ
2026-01-30,19:30,4690,日パレット,賛同,スタンダード市場,サービス業,2026-01-30,2000.0,0.48,1.3,0.369,日本パレットレンタル株式会社による当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-03,17:30,7922,三光産業,MBO,スタンダード市場,その他製品,2026-02-03,433.0,0.37,0.6,0.617,MBOの実施及び応募の推奨に関するお知らせ
2026-02-04,18:00,1726,Ｂｒ．ＨＤ,賛同,プライム市場,建設業,2026-02-04,357.0,0.97,1.6,0.606,株式会社横河ブリッジホールディングスによる当社株券等に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-04,18:00,7999,ＭＵＴＯＨ－ＨＤ,賛同,スタンダード市場,電気機器,2026-02-04,2980.0,0.41,1.0,0.41,ブラザー工業株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-05,22:00,6403,水道機工,賛同,スタンダード市場,機械,2026-02-05,3870.0,1.41,0.9,1.567,メタウォーター株式会社による当社株式に対する公開買付けに関する意見表明並びに同社及び東レ株式会社との資本業務提携に関するお知らせ
2026-02-05,22:30,6670,ＭＣＪ,MBO,スタンダード市場,電気機器,2026-02-05,1538.0,1.44,1.0,1.44,ＭＢＯの実施に関する賛同の意見表明及び応募の推奨に関するお知らせ
2026-02-06,19:00,4556,カイノス,賛同,スタンダード市場,医薬品,2026-02-06,1304.0,0.79,0.8,0.988,Flowers株式会社による当社株式に対する公開買付けに関する賛同の意見表明及び応募推奨のお知らせ
2026-02-12,17:30,1888,若築建,賛同,プライム市場,建設業,2026-02-12,5300.0,1.25,1.6,0.781,ＡＣＶＥホールディングス合同会社による当社株式に対する公開買付けに関する意見表明に関するお知らせ
